44 45 341
45 46 372
45 47 350
46 47 100
47 82 123
46 49 203
48 49 219
48 78 354
48 51 233
48 52 239
48 43 282
49 50 269
50 51 190
51 52 90
43 52 350
78 43 221
78 82 143
42 43 254
52 53 200
52 42 175
53 42 185
53 51 163
53 59 410
53 54 208
54 40 266
54 55 250
55 58 234
55 40 179
55 56 149
55 31 197
50 59 305
58 59 215
42 41 342
41 40 158
41 38 325
40 39 214
59 60 346
57 56 113
57 58 150
57 60 194
57 31 175
60 61 228
31 56 67
31 39 250
31 34 225
31 30 208
39 38 216
39 35 113
39 34 157
37 38 150
37 35 185
37 36 73
34 35 126
33 34 60
33 28 139
33 29 135
23G 36 271
23G 23H 150
23G 28 234
23G 23B 231	
23G 35 334
23B 23F 150
24 29 440
24 30 389
24 25 271
24 23E 328
24 61 488
24 26 221
29 30 220
29 27 200
33 28 139
27 28 187
27 23F 110
26 27 282
26 25 55
26 23E 108
26 23F 289
23H 36 184
23H 21 260
23A 23C 332
23A 23B 205
20 21 117
23C 23E 150
23B 23C 300
